name	objID	ra	dec	run	rerun	camcol	field	type	modelMag_u	modelMag_g	modelMag_r	modelMag_i	modelMag_z
IC1683	1237678894426095668	20.6622240993867	34.4371428341322	7781	301	5	68	GALAXY	15.78698	14.2876	13.36701	12.92266	12.58335
IC1755	1237653652921057594	29.2907729570726	14.5498693138197	1904	301	5	339	GALAXY	16.33073	14.45224	13.56609	13.11579	12.73214
IC5376	1237666184037400587	0.332419905855261	34.5256622067563	4822	301	2	528	GALAXY	16.30333	14.44343	13.49542	13.00131	12.60964
MCG-02-02-030	1237652628564934771	7.53047548367613	-11.1136235497666	1666	301	1	241	GALAXY	15.19765	13.5557	12.73574	12.33484	12.10558
MCG-02-51-004	1237668756164640875	303.916093610528	-13.6220010053967	5421	301	1	203	GALAXY	15.87711	14.267	13.40523	12.93979	12.62308
NGC1035	1237652900765368342	39.8714021545336	-8.13359299676582	1729	301	4	346	GALAXY	14.58986	13.08204	12.30507	11.86221	11.5356
NGC1056	1237670960014884873	40.7013225201217	28.5741143447242	5934	301	2	129	GALAXY	14.84767	13.20254	12.27152	11.77766	11.40873
NGC1093	1237670962164858920	42.0672265156921	34.4198091042949	5934	301	6	167	GALAXY	15.47485	13.76879	12.9892	12.59391	12.26245
NGC1667	1237676302410383439	72.1549262392535	-6.31998019263894	7178	301	1	23	GALAXY	14.73185	13.00286	12.13965	11.74379	11.32753
NGC169	1237666308025679980	9.21504065008145	23.9909392365472	4851	301	1	87	GALAXY	16.03366	13.80853	12.58436	11.95731	11.53411
NGC2410	1237653588477411643	113.759424194071	32.8220951194597	1889	301	5	47	GALAXY	15.25446	13.47311	12.57129	12.09252	11.74267
NGC2639	1237651249874665544	130.908641985177	50.2055515038545	1345	301	1	153	GALAXY	14.04585	12.19914	11.29145	10.92162	10.5535
NGC2683	1237660634912456752	133.172184797927	33.4218196922736	3530	301	2	113	GALAXY	12.83549	11.11675	9.952479	9.440468	9.076922
NGC2742	1237663529726836751	136.889914186548	60.479452665966	4204	301	2	211	GALAXY	13.32498	12.06074	11.38957	11.00041	10.82862
