name	objID	ra	dec	run	rerun	camcol	field	type	modelMag_u	modelMag_g	modelMag_r	modelMag_i	modelMag_z
IC2247	1237664094507237473	123.996206393721	23.1996037352529	4335	301	6	92	GALAXY	16.00775	14.43	13.50985	12.99881	12.52514
IC540	1237658493336879239	142.543075368573	7.90275157213338	3031	301	5	151	GALAXY	16.19854	14.47247	13.6409	13.19438	12.83506
IC944	1237664291011887113	207.878615962296	14.0922088367021	4381	301	4	243	GALAXY	15.63321	13.75211	12.87043	12.36217	11.97572
MCG-02-02-040	1237652946918441106	7.89918700352779	-10.5063712002014	1740	301	2	74	GALAXY	15.68646	14.26651	13.59668	13.21734	12.82451
MCG-02-03-015	1237652900753244175	11.9434789121005	-9.83504474516827	1729	301	4	161	GALAXY	16.20837	14.27641	13.30283	12.82149	12.4443
NGC1542	1237673472026280049	64.3090522623917	4.78173953006909	6519	301	1	13	GALAXY	16.24723	14.36101	13.42275	12.90238	12.42787
NGC3067	1237664879416049765	149.587793234731	32.3698380591797	4518	301	4	146	GALAXY	13.96714	12.62072	11.86079	11.46896	11.19704
NGC3079	1237655108906713101	150.492497615061	55.6801078997236	2243	301	5	213	GALAXY	13.72287	12.15539	11.24948	10.71906	10.30956
NGC3495	1237654599959445670	165.317616783716	3.62797882900738	2125	301	1	310	GALAXY	14.53697	13.04125	12.24781	11.81939	11.52815
NGC3626	1237667914340368469	170.015874858465	18.3568422183534	5225	301	1	40	GALAXY	13.41327	11.79748	11.06475	10.55936	10.49296
NGC4517	1237648704579174424	188.189611639329	0.115134353296351	752	301	4	298	GALAXY	24.63467	21.0829	19.02297	18.04791	17.26133
NGC4605	1237655463769735287	189.997957603234	61.6097188920447	2326	301	2	81	STAR	20.49816	19.35008	18.8582	18.61035	18.35931
NGC4772	1237651753479307279	193.371553542697	2.16836436591166	1462	301	3	454	GALAXY	14.00698	12.13512	11.29297	10.83	10.58272
NGC6314	1237659120415539451	258.161309908917	23.2700852245891	3177	301	5	356	GALAXY	15.54891	13.76977	12.9555	12.5128	12.16554
NGC681	1237652899149250613	27.29517576013	-10.4264800201273	1729	301	1	262	GALAXY	14.74909	12.85982	11.82465	11.36504	10.95289
UGC10205	1237662335719309348	241.667426064845	30.0990690881486	3926	301	2	110	GALAXY	15.66867	13.83314	12.7993	12.22688	11.7799
UGC10297	1237671691764433113	243.869804356962	18.9032855336381	6104	301	5	45	STAR	22.84908	24.70646	24.30199	24.3618	21.1732
UGC3107	1237673451628593474	69.3410520615255	9.5446521038698	6514	301	3	65	GALAXY	17.56744	15.72353	14.68247	14.10989	13.67168
UGC5111	1237663787426775206	144.219035827387	66.7883119349215	4264	301	2	240	GALAXY	16.55473	14.6193	13.63137	13.05121	12.5417
UGC5498	1237667292121530473	153.021446699803	23.0888707308706	5080	301	2	262	STAR	23.55585	21.77881	21.73057	21.5797	22.11373
UGC6036	1237662223523315810	163.980250311055	36.8615202856341	3900	301	1	263	GALAXY	16.13659	14.16552	13.31639	12.84235	12.47511
UGC8267	1237661850399735896	197.797229290269	43.7263315770647	3813	301	2	289	GALAXY	17.00705	14.92368	14.06548	13.58644	13.1379
UGC8778	1237664295298203798	208.027785714775	38.0670224575438	4382	301	4	111	GALAXY	16.04786	14.33252	13.56078	13.13181	12.87459
UGC9665	1237659133285040288	225.38526663238	48.319710264016	3180	301	5	121	GALAXY	15.90327	14.25413	13.4901	13.08076	12.76633
